id,datetime,age,domhand,gender
003,2023-05-29 15:59:18,24,rechtshändig,männlich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,tip_middle_finger,504.36954,171.62482,1685367895580
1,tip_middle_finger,491.7126,174.20943,1685367902730
2,knuckle_small_finger,125.34332,877.8142,1685367910812
3,knuckle_index_finger,521.41736,589.60846,1685367919030
4,wrist,271.66043,1087.0074,1685367958883
5,tip_middle_finger,537.32837,318.75098,1685367967523
6,wrist,335.58054,1112.0244,1685367974302
7,wrist,411.48566,1106.1359,1685367980614
8,knuckle_index_finger,605.24347,638.50116,1685367989093
9,knuckle_small_finger,164.794,956.2529,1685367997115
10,wrist,315.08044,1192.594,1685368003902
11,tip_middle_finger,343.11557,363.26065,1685368011941
12,wrist,303.62048,1173.0835,1685368018737
13,tip_middle_finger,354.55682,347.72833,1685368027629
14,knuckle_small_finger,108.86392,890.30444,1685368036130
15,wrist,299.6255,1219.0476,1685368043115
16,knuckle_index_finger,523.3458,749.4145,1685368051813
17,wrist,293.63297,1253.0211,1685368060956
18,tip_middle_finger,338.12613,390.79227,1685368069560
19,knuckle_small_finger,152.92947,910.2888,1685368077069
20,knuckle_index_finger,528.3396,704.44965,1685368085569
21,knuckle_index_finger,515.35583,687.4629,1685368092763
22,wrist,225.8725,1268.6217,1685368099660
23,tip_middle_finger,324.59427,276.78375,1685368107788
24,knuckle_small_finger,782.02246,484.6214,1685368115616
25,knuckle_small_finger,145.81773,944.26227,1685368122965
26,knuckle_index_finger,556.3046,678.47,1685368131845
27,knuckle_index_finger,553.30835,741.4208,1685368139160
28,knuckle_small_finger,775.03125,465.63623,1685368146841
29,knuckle_index_finger,633.2085,716.4403,1685368153966
30,tip_middle_finger,398.5019,281.35846,1685368162999
31,wrist,268.8573,1225.8489,1685368170384
32,knuckle_index_finger,556.3046,724.434,1685368178574
33,knuckle_small_finger,146.81648,819.35986,1685368186364
34,knuckle_index_finger,544.31964,731.4286,1685368194616
35,wrist,245.69289,1211.0538,1685368201692
36,tip_middle_finger,385.0187,348.22797,1685368209423
37,knuckle_small_finger,102.871414,880.31226,1685368217035
38,tip_middle_finger,369.5381,348.72757,1685368225194
39,knuckle_small_finger,161.79776,820.3591,1685368234345
