id,datetime,age,domhand,gender
003,2023-05-29 15:17:06,24,rechtshändig,männlich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,tip_middle_finger,366.81427,364.4425,1685366598369
1,tip_middle_finger,376.52936,281.77985,1685366608209
2,tip_middle_finger,355.55557,262.79468,1685366616176
3,knuckle_small_finger,412.4844,969.2428,1685366636328
4,wrist,444.44446,1109.1335,1685366643969
5,tip_middle_finger,375.5306,412.67758,1685366651126
6,knuckle_index_finger,488.20578,787.56866,1685366661754
7,knuckle_small_finger,167.79027,820.3591,1685366671712
8,knuckle_index_finger,481.39825,751.41296,1685366683186
9,tip_middle_finger,464.8023,386.3149,1685366690374
10,wrist,483.39575,994.22327,1685366698763
11,knuckle_index_finger,469.41324,780.3903,1685366707595
12,knuckle_small_finger,356.55432,908.2904,1685366716059
13,knuckle_index_finger,539.32587,825.1135,1685366725088
14,knuckle_small_finger,295.63046,844.83997,1685366732905
15,wrist,374.53183,1027.1975,1685366740112
16,wrist,315.6055,1039.1881,1685366746678
17,wrist,364.54434,1175.0819,1685366753895
18,wrist,385.44955,1187.1412,1685366760708
19,tip_middle_finger,609.23846,334.7385,1685366768414
20,knuckle_index_finger,692.1348,781.3895,1685366777495
21,knuckle_index_finger,680.14984,760.40594,1685366784886
22,wrist,409.48816,1219.0476,1685366792000
23,tip_middle_finger,518.35205,318.75098,1685366912374
24,tip_middle_finger,546.31714,304.7619,1685366920071
25,knuckle_index_finger,638.2023,706.44806,1685366928686
26,knuckle_small_finger,181.77278,759.40674,1685366936457
27,tip_middle_finger,580.27466,367.71274,1685366944580
28,knuckle_small_finger,232.70912,812.36536,1685366952555
29,knuckle_small_finger,296.6292,767.2333,1685366960274
30,knuckle_index_finger,674.1573,705.44885,1685366969113
31,wrist,330.58676,1061.1709,1685366976387
32,knuckle_index_finger,672.1598,615.5191,1685366985932
33,knuckle_small_finger,235.70537,756.40906,1685366994643
34,wrist,386.51688,1162.0922,1685367002163
35,tip_middle_finger,508.36456,302.76346,1685367012414
36,wrist,292.63422,1142.1077,1685367019148
37,knuckle_small_finger,384.51935,661.4832,1685367026402
38,knuckle_small_finger,370.53683,687.4629,1685367033260
39,knuckle_index_finger,729.0887,754.4705,1685367041663
