id,datetime,age,domhand,gender
004,2023-06-05 10:35:08,23,rechtshändig,männlich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,knuckle_index_finger,556.3046,576.54956,1685954151572
1,tip_middle_finger,252.68414,87.931305,1685954163120
2,tip_middle_finger,221.72285,38.969555,1685954171373
3,knuckle_small_finger,17.977528,488.8279,1685954179379
4,knuckle_small_finger,7.9900126,422.6698,1685954187500
5,knuckle_index_finger,483.39575,433.6612,1685954194896
6,knuckle_small_finger,95.88015,397.6893,1685954202147
7,knuckle_index_finger,495.3808,447.65027,1685954209874
8,knuckle_index_finger,533.3334,454.6448,1685954216816
9,wrist,271.66043,673.4739,1685954223466
10,knuckle_index_finger,600.7813,420.13953,1685954230310
11,knuckle_small_finger,46.362427,425.66745,1685954238212
12,knuckle_index_finger,517.35333,472.63077,1685954245176
13,wrist,241.69788,791.3817,1685954252037
14,wrist,132.0392,809.6791,1685954258516
15,wrist,235.70537,746.4169,1685954264775
16,wrist,153.80774,780.3903,1685954271184
17,wrist,206.2412,883.31195,1685954277542
18,wrist,233.70787,866.3232,1685954283929
19,knuckle_index_finger,727.0911,657.4863,1685954291959
20,knuckle_index_finger,695.1311,574.55115,1685954299669
21,knuckle_small_finger,94.8814,336.73694,1685954306801
22,knuckle_small_finger,109.86267,349.72678,1685954313838
23,wrist,341.57303,846.3388,1685954320514
24,knuckle_small_finger,8.988764,507.60342,1685954327282
25,knuckle_small_finger,72.90887,484.6214,1685954334090
26,knuckle_small_finger,87.14629,445.90683,1685954341874
27,tip_middle_finger,327.5905,27.978142,1685954349142
28,tip_middle_finger,357.55307,3.9968774,1685954355908
29,tip_middle_finger,288.55786,44.96487,1685954364276
30,tip_middle_finger,301.623,3.9968774,1685954372070
31,wrist,211.73535,891.3037,1685954378925
32,knuckle_index_finger,601.2485,554.5668,1685954387911
33,tip_middle_finger,442.44696,3.9968774,1685954395011
34,tip_middle_finger,445.4432,88.93052,1685954402133
35,tip_middle_finger,417.47815,4.9960966,1685954409015
36,wrist,248.09738,755.40985,1685954415449
37,knuckle_small_finger,137.82771,326.74472,1685954422706
38,knuckle_index_finger,795.0063,475.62842,1685954429560
39,tip_middle_finger,438.45193,61.9516,1685954437210
