id,datetime,age,domhand,gender
003,2023-05-29 15:51:05,24,rechtshändig,männlich
EXPERIMENT DATA
trialno,trialtype,x,y,timestamp
0,tip_middle_finger,677.15356,10.991413,1685368316904
1,knuckle_index_finger,776.02997,393.6924,1685368325061
2,knuckle_index_finger,729.237,339.58618,1685368333206
3,knuckle_index_finger,740.07495,354.72287,1685368340125
4,wrist,329.75952,1049.0087,1685368347005
5,knuckle_small_finger,255.6804,543.5753,1685368355825
6,wrist,361.54807,978.2358,1685368363168
7,knuckle_small_finger,262.67166,566.5574,1685368370367
8,wrist,415.48065,1008.21234,1685368377019
9,knuckle_small_finger,223.72035,574.55115,1685368384294
10,knuckle_index_finger,766.0425,587.54095,1685368391634
11,knuckle_small_finger,222.7216,795.3786,1685368399870
12,tip_middle_finger,585.8164,292.77127,1685368406990
13,knuckle_index_finger,717.10364,679.4692,1685368415676
14,knuckle_index_finger,711.46356,615.5191,1685368422692
15,wrist,342.9263,1159.7389,1685368433402
16,tip_middle_finger,511.3608,231.8189,1685368441162
17,tip_middle_finger,478.402,205.6042,1685368448227
18,knuckle_small_finger,183.7703,764.40283,1685368456070
19,tip_middle_finger,489.38828,188.85246,1685368464312
20,wrist,315.6586,1100.1405,1685368470961
21,wrist,320.59924,1014.20764,1685368477038
22,knuckle_index_finger,673.15857,603.5285,1685368484537
23,knuckle_index_finger,681.14856,579.54724,1685368491975
24,tip_middle_finger,448.43945,200.8431,1685368500123
25,knuckle_index_finger,658.1773,705.44885,1685368507470
26,wrist,330.58676,1133.1147,1685368514869
27,tip_middle_finger,387.51563,212.83372,1685368522633
28,tip_middle_finger,380.52435,153.87978,1685368529939
29,wrist,330.58676,1165.0897,1685368536618
30,knuckle_small_finger,197.7528,590.53864,1685368544703
31,knuckle_small_finger,196.75406,656.4871,1685368551842
32,tip_middle_finger,556.3046,175.86261,1685368559181
33,wrist,307.61548,1139.1101,1685368566184
34,knuckle_small_finger,231.71037,577.54877,1685368574366
35,knuckle_small_finger,220.7241,614.02026,1685368581384
36,tip_middle_finger,530.3371,173.86417,1685368589008
37,knuckle_small_finger,215.73035,734.4144,1685368596789
38,wrist,375.5306,1118.6262,1685368603299
39,knuckle_index_finger,701.12366,646.49493,1685368612048
