"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"001","2023-05-24","10:13:25","25","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","knuckle_small_finger","172.78403","959.2506","1684916094106","0"
"1","knuckle_index_finger","472.4095","853.3333","1684916101407","1"
"2","wrist","291.1361","1237.0336","1684916108016","2"
"3","knuckle_small_finger","101.87266","1003.21625","1684916115042","3"
"4","tip_middle_finger","259.6754","741.4208","1684916122315","4"
"5","tip_middle_finger","269.66293","694.45746","1684916128970","5"
"6","knuckle_small_finger","107.86517","975.2381","1684916135981","6"
"7","tip_middle_finger","309.61298","612.5215","1684916142847","7"
"8","tip_middle_finger","297.62796","651.491","1684916149450","8"
"9","tip_middle_finger","309.61298","637.50195","1684916156347","9"
"10","tip_middle_finger","306.61673","623.5129","1684916163515","10"
"11","tip_middle_finger","312.60925","610.3959","1684916170445","11"
"12","knuckle_index_finger","418.02222","834.8925","1684916177947","12"
"13","knuckle_small_finger","77.964005","931.33386","1684916185306","13"
"14","knuckle_small_finger","138.82648","906.29193","1684916192382","14"
"15","knuckle_index_finger","394.50687","833.34894","1684916199588","15"
"16","knuckle_small_finger","78.901375","927.77515","1684916206947","16"
"17","knuckle_small_finger","118.85144","893.3021","1684916213742","17"
"18","knuckle_index_finger","373.49255","868.3216","1684916220877","18"
"19","knuckle_small_finger","91.385765","913.2865","1684916301351","19"
"20","wrist","335.58054","1164.0906","1684916308026","20"
"21","wrist","296.6292","1228.0138","1684916314258","21"
"22","wrist","292.63422","1264.0125","1684916320462","22"
"23","wrist","301.623","1263.0133","1684916326536","23"
"24","wrist","347.56555","1273.0055","1684916332581","24"
"25","knuckle_small_finger","41.947567","983.0242","1684916339630","25"
"26","tip_middle_finger","259.6754","725.4332","1684916346379","26"
"27","knuckle_index_finger","407.49063","924.2779","1684916354218","27"
"28","knuckle_index_finger","355.55557","902.2951","1684916360990","28"
"29","wrist","259.6754","1214.0515","1684916367740","29"
"30","knuckle_small_finger","73.907616","1072.1624","1684916374895","30"
"31","tip_middle_finger","239.70038","744.4184","1684916382048","31"
"32","wrist","273.65793","1246.0265","1684916388566","32"
"33","wrist","278.6517","1247.0258","1684916394685","33"
"34","knuckle_index_finger","356.55432","979.235","1684916402986","34"
"35","wrist","291.63547","1274.0046","1684916410315","35"
"36","tip_middle_finger","257.67792","784.3872","1684916417681","36"
"37","knuckle_index_finger","346.48627","956.2529","1684916425158","37"
"38","knuckle_index_finger","323.59552","947.25995","1684916432417","38"
"39","knuckle_index_finger","317.603","927.2756","1684916439386","39"
