"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"002","2023-05-25","15:16:26","21","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","knuckle_index_finger","742.9658","71.943794","1685021005235","0"
"1","knuckle_index_finger","598.2522","25.979704","1685021013684","1"
"2","knuckle_index_finger","641.1985","4.9960966","1685021021615","2"
"3","knuckle_index_finger","570.50684","309.5382","1685021029220","3"
"4","knuckle_small_finger","125.5968","362.7166","1685021037227","4"
"5","knuckle_small_finger","197.7528","475.62842","1685021044924","5"
"6","knuckle_index_finger","699.1261","424.6682","1685021052572","6"
"7","knuckle_small_finger","263.6704","552.5683","1685021060040","7"
"8","wrist","312.60925","858.3294","1685021066839","8"
"9","wrist","392.50937","794.3794","1685021073379","9"
"10","wrist","410.4869","770.39813","1685021080057","10"
"11","knuckle_small_finger","162.79651","626.51056","1685021087859","11"
"12","knuckle_small_finger","165.08144","593.5363","1685021094905","12"
"13","knuckle_index_finger","634.2073","579.54724","1685021102368","13"
"14","knuckle_small_finger","179.9189","521.5925","1685021110043","14"
"15","tip_middle_finger","355.55557","126.900856","1685021118034","15"
"16","knuckle_index_finger","620.22473","492.61514","1685021125752","16"
"17","knuckle_small_finger","170.96857","493.61435","1685021132890","17"
"18","knuckle_index_finger","641.1985","457.64246","1685021140693","18"
"19","wrist","301.623","793.3802","1685021147392","19"
"20","tip_middle_finger","370.53683","98.922714","1685021154833","20"
"21","knuckle_index_finger","633.2085","466.63544","1685021162466","21"
"22","wrist","323.59552","811.3661","1685021169449","22"
"23","tip_middle_finger","503.3708","74.94145","1685021177616","23"
"24","tip_middle_finger","475.40576","4.9960966","1685021185204","24"
"25","tip_middle_finger","436.752","5.995316","1685021193331","25"
"26","wrist","345.56805","785.3864","1685021200217","26"
"27","wrist","339.57553","774.395","1685021206749","27"
"28","tip_middle_finger","436.45444","10.991413","1685021213540","28"
"29","knuckle_small_finger","115.85519","595.5347","1685021221020","29"
"30","tip_middle_finger","378.52686","29.976582","1685021228234","30"
"31","tip_middle_finger","451.4357","5.995316","1685021236214","31"
"32","wrist","281.64795","805.3708","1685021243114","32"
"33","wrist","312.6898","823.4373","1685021249678","33"
"34","knuckle_small_finger","134.9726","580.4053","1685021257005","34"
"35","knuckle_small_finger","78.901375","525.58936","1685021264329","35"
"36","knuckle_index_finger","615.9191","415.67526","1685021272184","36"
"37","wrist","290.12842","876.31537","1685021278862","37"
"38","tip_middle_finger","394.50687","7.993755","1685021286264","38"
"39","tip_middle_finger","517.35333","4.9960966","1685021293894","39"
