"V1","V2","V3","V4","V5","V6"
"id","datetime","age","domhand","gender","id"
"001","2023-05-24","09:28:21","25","rechtshändig","weiblich"
"EXPERIMENT","DATA","EXPERIMENT","DATA","EXPERIMENT","DATA"
"trialno","trialtype","x","y","timestamp","trialno"
"0","wrist","359.55057","1073.1616","1684913769332","0"
"1","tip_middle_finger","346.5668","462.63855","1684913776683","1"
"2","knuckle_index_finger","461.42322","639.50037","1684913784268","2"
"3","tip_middle_finger","332.5843","430.66354","1684913791780","3"
"4","tip_middle_finger","378.52686","517.59564","1684913799220","4"
"5","wrist","453.43323","866.3232","1684913806549","5"
"6","knuckle_small_finger","220.7241","760.40594","1684913814296","6"
"7","tip_middle_finger","386.51688","386.6979","1684913824159","7"
"8","knuckle_index_finger","421.47318","680.4684","1684913832499","8"
"9","knuckle_small_finger","149.81274","811.3661","1684913840268","9"
"10","wrist","431.23892","1149.3242","1684913847189","10"
"11","knuckle_small_finger","165.79276","877.3146","1684913854646","11"
"12","wrist","462.422","1199.0632","1684913861704","12"
"13","wrist","431.4607","1144.0369","1684913867903","13"
"14","knuckle_small_finger","186.76654","963.7617","1684913874986","14"
"15","wrist","464.4195","1211.0538","1684913881808","15"
"16","knuckle_small_finger","186.76654","972.2404","1684913888924","16"
"17","knuckle_index_finger","510.36206","871.3193","1684913897453","17"
"18","knuckle_index_finger","476.4045","884.30914","1684913904301","18"
"19","knuckle_index_finger","457.1889","885.5478","1684913911231","19"
"20","tip_middle_finger","254.68166","710.77075","1684913919786","20"
"21","knuckle_small_finger","169.78777","1031.723","1684913927037","21"
"22","knuckle_index_finger","465.41824","914.2857","1684913935742","22"
"23","knuckle_small_finger","152.80899","1022.8812","1684913943119","23"
"24","tip_middle_finger","285.64294","679.21436","1684913951979","24"
"25","tip_middle_finger","268.66418","685.4645","1684913959648","25"
"26","wrist","388.51437","1220.0469","1684913967395","26"
"27","knuckle_small_finger","169.78777","1053.8761","1684913975726","27"
"28","tip_middle_finger","315.6055","688.57324","1684913984416","28"
"29","knuckle_index_finger","485.39328","830.35126","1684913992491","29"
"30","wrist","412.4844","1273.0055","1684913999485","30"
"31","knuckle_index_finger","418.4769","898.2982","1684914009008","31"
"32","knuckle_index_finger","424.46942","909.2896","1684914015887","32"
"33","knuckle_small_finger","191.7603","1029.1959","1684914024053","33"
"34","knuckle_small_finger","225.71785","961.249","1684914031849","34"
"35","wrist","485.39328","1274.0046","1684914039073","35"
"36","knuckle_index_finger","495.3808","867.3224","1684914049166","36"
"37","tip_middle_finger","308.61423","743.4192","1684914058149","37"
"38","tip_middle_finger","331.5855","754.41064","1684914065052","38"
"39","wrist","368.53934","1274.0046","1684914073104","39"
